Name,Address,Cuisine,Attire,Description,Website,Image_URL,Latitude,Longitude
Ginza AYCE Sushi,"24215 Crenshaw Blvd, Torrance, CA 90505",Sushi,Any,"A great casual, neighborhood sushi spot that feels pretty authentic. This isn't the type of place to go to for omakase, but their specialty rolls are fresh and some have unique flavor combinations that have influence from all over the world. Conviently located and a good spur-of-the-moment place when you need a bite!",https://www.ginzasushitorrance.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAweodsXo08ITsXDQBtek2DPfWHJOS1jMo8ruD4cQ5o2AUozLIAn7pmgLAwoDmEm-SmA1411sMAFENa3Xp87tlDAskVrnTzogsjJF9hEHbHapu1XxCdi8MbWnm4VVrtmJIT2gJyouVBQ=w289-h312-n-k-no,33.805929,-118.328868
Bonnello's,"24427 Narbonne Ave, Lomita, CA 90717",Pizza,Any,"Nestled in Downtown Lomita, this pizza place has been there for as long as anyone can remember. Their Sicillian slices are the perfect blend of crispy, thick, with a rich tomato sauce that can only be from San Marzano tomatoes. The windows have paint drawings all over that are chipped, and the photographs are faded, but this place isn't going anywhere anytime soon. ",https://www.yelp.com/biz/bonellos-new-york-pizza-lomita,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEoc6V6i2hL_eab6dCxq6W8aglGg8qhmWVN86axUVvZ7vNXjXkRB8k7zEBwOt73v3unWcOkfCNNvEkj7uBLP8_gjkdpowf-gEJKQH7QRT7P53zEP6p1HUS3VJazdBZ2owwn10uXsEyEvwyJHwGR_uCEwKMFbhJ3qsGzkdYU5D8X33ymH-XlxbN5ylg=w289-h312-n-k-no,33.803206,-118.320223
Corridor Flow,"24614 Narbonne Ave, Lomita, CA 90717",Coffee,Any,"Of the pretentious coffee shops in Los Angeles, this is one of the best. Yes, they have the seven-dollar lattes, but the Cereal Latte is one of the best. Their bagel and lox isn't bad either- but their Avodaco Toast is absolutely killer. Their matcha is pretty good, but I'd stick to the coffee. ",https://www.corridorflow.com,https://lh3.googleusercontent.com/p/AF1QipNCsjUlkpmqAyv61o94R7d3AlrDy1PABdOIWtHF=w289-h312-n-k-no,33.801997,-118.319696
Hi-Fi Espresso,"1815 S Catalina Ave, Redondo Beach, CA 90277",Coffee,Any,"I love this place! Especially, I love the Bees Knees latte- the hot honey is such a pleasant surprise and somehow works. This is strange for me, because I don't tend to like spicy drinks but this is an exception. The French Toast Latte is also very pleasant- the cinnamon and maple work in harmony with the bitter coffee. Theres a few locations, but I like this one the best.",https://www.hifiespresso.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepfjTlc_F2hs3LEmrG5MeGvSFJdPi4zerjYMcn6BuuDK4NGrHmcKJmhVNngwN89Abz-N9wA6NBtJlvyNUnlSDs9EFx3ybf0cY45amPeMfztLsFpMTp-UZ0gL0lO804KMFfd5nS6=w243-h304-n-k-no-nu,33.816388,-118.387402
Yellow Vase,"31248 Palos Verdes Dr W, Rancho Palos Verdes, CA 90275",Breakfast,Any,"There's several locations, but this one has the best view. I prefer their sweet crepes to the savory options, but that's true for any crepe. It's super fast and tasty, but don't get tricked by the quiches in the window. The crepes are much better, and so is the Croque Madame. Their lattes are pleasant, but nothing to write home about. ",https://www.yellowvase.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerkLwWEwHjOCOKI-qo17iHWUhTlC04wjNFq9AHIbYOBpyNYMYYNtf7f4nelSEb-TI2jlw0e5GXoVykSLLSbvHQWtqXQgRdrwDN4dIMeLCgAW7AZeBE8SzcwLoxSCoh2fKPx4TjF=s1360-w1360-h1020,33.748064,-118.406911
Avenue Italy,"31243 Palos Verdes Dr W, Rancho Palos Verdes, CA 90275",Italian,Nice-Casual,"This is a great Italian place with a gorgeous view and fresh ingredients. Pro tip- pull up the menu on your phone and get a Bruschetta for the table for free! The Rigatoni con Luganega is perfect, but the Spaghetti Aglio, Olio, e Peperocino is better somehow. It's the type of dish that you go home and try to recreate for years but with no avail.",https://www.avenueitaly.com,https://lh3.googleusercontent.com/p/AF1QipMFbHA_NuQ2njJNJVUOrG1p1HbPwsXpCbS0TO9q=w289-h312-n-k-no,33.748141,-118.406476
The Crepery Café,"810 Silver Spur Rd, Rolling Hills Estates, CA 90274",Breakfast,Any,"As the name suggests, the crepes from here are pretty good, but surprisingly so are the Chilaquiles. Wednesday mornings around 8-9 there'll be a huge rush of highschool students, but every other time it would be an easy breakfast spot to pop into!",https://thecreperycafe.com,https://lh3.googleusercontent.com/p/AF1QipPmwe1-kAzRFt4Bf4I4rK-gf3exXnscmi_mcJDQ=w243-h174-n-k-no-nu,33.77088,-118.36745
Dragonfly Thai,"50-A Peninsula Center, Rolling Hills Estates, CA 90274",Thai,Any,"A neighborhood place that has some of the best Pad Thai and Pad Kra Pow that I've had outside of a friends' moms' kitchen. It's good portions, relatively inexpensive, but I'd go after the high school lunch rush. It's walking distance, and there gets to be a bit of a rush. ",https://www.dragonflythaibistro.com,https://lh3.googleusercontent.com/p/AF1QipPgV_OVP6lcCGLw8-cujTSpaW4TYt8Fe61SbRS-=w289-h312-n-k-no,33.774249,-118.375462
Pho Hana,"55-B Peninsula Center, Rolling Hills Estates, CA 90274",Vietnamese,Any,"All through middle and high school, this was the place we went to after all the important things. A bowl of pho from here is nostalgic, the bulgogi is enuogh to share, and if you're just running in then the boba is can't miss. ",https://www.noodlephoever.com,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHk-EwBSYIVIDtp6597ad0ET3eyfBWk1BZdb5SSrsdz5fCOVvirM8j81aMZeo5-w-oBZfQMdDdgJkUb5O-Xf6QCq7gJLNfXIxmVkRn0L-KNlI5jaXYDam-u8LfdBWnye0FMgT_Seu391bBqmMGFlWN9Q8hmq1_ylK9N0xiJGZGvUJyrEKPu0KPJT1g=w289-h312-n-k-no,33.773947,-118.376374
Lunada Market and Deli,"2201 Palos Verdes Dr W, Palos Verdes Estates, CA 90274",Breakfast,Any,"The smoothies here might be the best thing on their menu. I mostly came here to see my friends who were working on weekends, but it was the perfect pre-walk drink. The deli here also has great cuts of meat for grilling, and some are marinaded even!",https://lunadamarket.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerfmsGwF0x6k-BbYXEhtXWsES0CZPdw6sz__XoTIgGxSbGkYKGWBSNybBCwMOZ5Li7NhGtfQOvSUprgDloZEJ1rKMVs98NqkzlkgPO7oMCQLr-J3NxCiGQIQYYg1bRgz5p2Tq8=w289-h312-n-k-no,33.775729,-118.417967
Seaside Bistro,"1420 W 25th St Unit A, San Pedro, CA 90732",Diner,Any,"This is a perfect little bistro place where basically the whole menu is good. You'll probably run into someone's parents you know, so be on your best behavior. The clientele is almost exclusively locals, and if you go early enough half of them will be longshoremen. Their fries are probably my favorite part- they're crispy, pillowy. and thick enough to hold nicely onto some ranch but not so thick your mouth runs dry. ",https://sidebistro.com,https://lh3.googleusercontent.com/p/AF1QipNWO7U4t8W3FTmpV8-q6YSPSXD2DKDsbWSf7hnm=w289-h312-n-k-no,33.722239,-118.310488
Sorrento's,"2428 S Western Ave, San Pedro, CA 90732",Italian,Casual,"This is the type of place the Little League team comes to for celebratory pizzas after winning their games. It's warm, bursting with life, and the perfect neighborhood Italian spot. Get the Baked Rigatoni or the Chicken Parmasean- and if you eat in they both come with the world's best side salads. ",https://www.yelp.com/biz/sorrentos-restaurant-san-pedro,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCpNdc69zVPzXOFmDs0Yj4rrvl20xMR-ZTxU8UJnh1zP8gd6uZMzGAW0ovEaPYYC5tZ8KX-4OChAtz-GfrlkP76GDYStG3-XgkHtBY9xK5IeHZK5yF3QURXUjt5zUABJeZO5k=w289-h312-n-k-no,33.722819,-118.311734
Perry's,"2400 Ocean Front Walk, Santa Monica, CA 90405",Beach,Beach,"Perry's has a handful of stands up and down the beaches, and they're all tasty but this one has the best people watching. It's the perfect spot for a burger on the beach while you're still warm from the sun, though it can be a little pricey. This one is more of a restaurant, while most of the other locations are more about walkikng up and grabbing a hot dog. The hot dogs are amazing too, though sadly no Diet Coke.",https://perryscafe.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAweojAtI0X6FkYXwEq6RjHW5ginHEHUCBK4953W6nXAg4Yhn2mE6WucKG1FIYYXuVpn96-sVDori0aflhD-dRVH-Wcsq2BYJpiS-oj3uhRRnTGBJNnF8NdbLKbdVOjRANp8g7Ag8=w289-h312-n-k-no,34.002288,-118.488319
Fox & Farrow,"1332 Hermosa Ave, Hermosa Beach, CA 90254",New American,Nice,"Any place that has a Pretzel Loaf as the first thing on the menu is an automatic win in my book, but it only gets better from there. But, don't get tricked by the first instance, and instead bypass it for focusing on the Sausage Selection, which changes all the time, which still incudes the pretzel loaf but with a fantastic selection of meats.  Without a doubt, the best thing I had was the Duck Pasta, hold te pine nuts. I still think about it- the shape of the pasta, the richness of the herb reduction... Yum.",https://www.foxandfarrow.com,https://lh3.googleusercontent.com/gps-cs-s/AHVAweowHc7CQZaE0AIx_Kj-3Ac3qSzWx2RIpc5ljiWykmeosm_aURRnWxMSqVtR_ogg0XLYX8eM3z3UvPogK3zm9sNRpvkLaeaVSeroKNEDKSV6bQE3miXRsb_a9ePpYNro7j1y_jCl=w243-h174-n-k-no-nu,33.863596,-118.40003
Frida,"21438 Del Amo Cir N, Torrance, CA 90503",Mexican,Nice-Casual,"It's not often that I find enchiladas that are as good as the ones from my roommate's abuela, but these are a close second. The mole is decadent, spicy, and just the right amount of bitter that you need it to be. The vibes are high, the chips are hot, and the margaritas are dangerous. Take an Uber.",https://fridarestaurant.com,https://lh3.googleusercontent.com/p/AF1QipPPWAawEaCIl9sN-R8QLebj18ZQkdQd8WYOmHf2=w289-h312-n-k-no,33.828875,-118.346916
555 East,"555 E Ocean Blvd, Long Beach, CA 90802",Steakhouse,Chic,"Baked goat cheese, shrimp cocktail, I could go on and on. This is a classic steakhouse that guarentees their experience unconditionally. They have good legs to stand on, speaking absoolutely. You step back into 1957 when you walk in, and it's the most pleasant experience. Best shared with friends, their steaks are their pride and joy for a reason. Their daily cuts change (daily... duh) but give them a shot if you're feeling that type of dry-aged vibe.",https://www.555east.com,https://lh3.googleusercontent.com/p/AF1QipOrJ_yxVkrQqqf3hH5o7bW4lMC9xi7X1pTsKeXJ=w289-h312-n-k-no,33.766845,-118.185725
Chart House,"231 Yacht Club Way, Redondo Beach, CA 90277",Steakhouse,Chic,"This is somewhere I wouldn't say to go unless it was a specific occasion. They host wine dinners regularly, and the experience is like no other. It feels top of the line, because it is, and you'll end up with an experience that can't be replicated or duplicated. ",https://www.chart-house.com/store-locator/,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq_ufiY5kKAbQdGsBEpSkl54GQzh2hF84zvZKTYdjdyU7Cp4P36qC2fNwDyyqYh2heSRP-zFWLLqlz79ugFFyhaHZoHpnlt_KTEHZ8iZj07y2QdsZ-StrhMhnIGXt2KQzETDSeWSBxv79m0=s1360-w1360-h1020,33.851489,-118.398499
